English,Portugues
guests,convidados
celebrate,comemoro
map,mapa
horn,buzina
eventually,eventualmente
pity,pena
powers,poderes
ashamed,envergonhado
assume,presumir
glasses,copos
rise,ascender
fixed,fixo
request,solicitar
officers,oficiais
pounds,libras
data,dados
carefully,com cuidado
per,por
depends,depende
jury,júri
waited,esperou
positive,positivo
attorney,advogado
direction,direção
families,famílias
clock,relógio
doin,fazendo
forces,forças
location,localização
walls,paredes
useless,inútil
grant,conceder
saving,economizando
speaks,fala
fought,disputado
meal,refeição
deliver,entregar
answers,respostas
changing,mudando
temple,têmpora
scary,apavorante
millions,milhões
offered,oferecido
regular,regular
carrying,carregando
official,oficial
jacket,jaqueta
switch,trocar
grave,cova
chase,perseguir
role,papel
odd,chance
sexy,sexy
faces,rostos
becomes,torna-se
closes,fecha
badly,seriamente
tall,alto
confused,confuso
affair,assunto
television,televisão
shock,choque
raised,criado
panting,ofegante
pizza,pizza
image,imagem
clears,limpa
golden,dourado
patients,pacientes
watched,assistido
committed,empenhado
sexual,sexual
suffer,sofrer
arthur,Arthur
wherever,onde quer que
plate,placa
appear,aparecer
chocolate,chocolate
clever,esperto
hm,HM
mercy,misericórdia
shots,tiros
lucy,Lucy
dealing,tratativa
trap,armadilha
charges,cobranças
phil,Phil
bang,Bang
poison,tóxico
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
headed,indo
babies,bebês
yellow,amarelo
soup,sopa
mystery,mistério
picking,Escolha
sat,sentado
wound,ferimento
traffic,tráfego
courage,coragem
hunt,caçar
indian,indiano
rat,rato
terms,termos
italian,italiano
emma,Emma
checking,verificando
disease,doença
managed,gerenciou
winner,ganhador
council,conselho
appointment,encontro
monday,segunda-feira
crack,rachadura
threat,ameaça
jenny,Jenny
physical,físico
nation,nação
source,fonte
chose,escolheu
healthy,saudável
carl,Carl
victory,vitória
rick,Rick
stood,permaneceu
kicked,chutado
annie,Annie
disgusting,nojento
palace,Palácio
below,abaixo
shopping,compras
neighborhood,vizinhança
march,marchar
lips,lábios
midnight,meia-noite
piss,xixi
advantage,vantagem
pure,puro
india,Índia
aside,aparte
jerk,idiota
mail,correspondência
dawn,alvorecer
effect,efeito
spell,soletrar
freak,doido
wood,madeira
screwed,parafusado
enemies,inimigos
gary,Gary
awake,acordado
chuckling,rindo
vacation,férias
violence,violência
leo,Leo
grandmother,avó
modern,moderno
luke,Lucas
firm,empresa
prime,melhor
heh,heh
touched,tocado
talent,talento
whore,prostituta
piano,piano
license,licença
cooking,culinária
honour,honra
concern,preocupação
moves,movimentos
available,disponível
factory,fábrica
gods,Deuses
value,valor
central,central
union,União
mirror,espelho
studio,estúdio
media,meios de comunicação
taxi,Táxi
dies,morre
iron,ferro
hearts,corações
desire,desejo
rob,roubar
claire,Claire
fred,Fred
songs,músicas
washington,Washington
monkey,macaco
pride,orgulho
pills,pílulas
miracle,milagre
swim,nadar
burned,queimado
smells,cheira
joking,brincadeira
christian,cristão
bleeding,sangramento
hook,gancho
beating,espancamento
protection,proteção
treatment,tratamento
ear,orelha
carter,Carter
metal,metal
disappear,desaparecer
grateful,grato
extremely,extremamente
treasure,tesouro
rescue,resgatar
capable,capaz
passing,passagem
chatter,conversa
result,resultado
suffering,Sofrimento
sisters,irmãs
laid,disposto
governor,governador
guards,guardas
louis,Louis
text,texto
literally,literalmente
remove,remover
becoming,tornando-se
performance,desempenho
stronger,mais forte
rate,avaliar
deeply,profundamente
scream,gritar
desert,deserto
vehicle,veículo
illegal,ilegal
pulling,puxar
throwing,jogando
josh,Josh
unbelievable,inacreditável
ted,Ted
zero,zero
dean,reitor
curious,curioso
sean,Sean
candy,doce
bone,osso
tied,ligado
edge,borda
load,carregar
susan,Susan
ahh,ahh
mountains,montanhas
boom,estrondo
former,antigo
holiday,feriado
riding,cavalgando
scoffs,zombares
hundreds,centenas
motherfucker,filho da puta
sue,processar
bags,bolsas
stealing,roubando
appears,parece
arrive,chegar
remains,restos
decent,decente
issues,problemas
tip,dica
fail,falhar
bride,noiva
pissed,chateado
penny,centavo
claim,alegar
friendship,amizade
desperate,desesperado
flower,flor
dramatic,dramático
refuse,recusar
solve,resolver
theme,tema
loving,amoroso
properly,apropriadamente
dragon,Dragão
mostly,majoritariamente
chuck,mandril
directly,diretamente
surface,superfície
FALSE,FALSO
cast,elenco
junior,júnior
hunting,Caçando
silent,silencioso
thou,porém
egg,ovo
germany,Alemanha
punch,soco
africa,África
woke,acordou
intelligence,inteligência
borrow,emprestar
winning,ganhando
falls,cai
popular,popular
escaped,escapou
witch,bruxa
convinced,convencido
warn,avisar
announcer,locutor
champagne,champanhe
dust,pó
kyle,Kyle
someday,algum dia
fallen,caído
stranger,estranho
presence,presença
tear,rasgar
st.,st.
internet,Internet
monsieur,Senhor
therefore,portanto
technology,tecnologia
tires,pneus
toast,brinde
wise,sábio
clark,Clark
americans,americanos
notes,notas
smoking,fumar
hank,Hank
ls,ls
april,abril
wolf,lobo
precious,precioso
rooms,quartos
coast,costa
treated,tratado
material,material
released,lançado
uniform,uniforme
hated,odiado
considered,considerado
rice,arroz
exchange,intercâmbio
steps,passos
blake,Blake
convince,convencer
beast,fera
cow,vaca
files,arquivos
signs,Sinais
drag,arrastar
cab,táxi
hung,pendurado
carried,carregou
ordinary,ordinário
successful,bem-sucedido
eve,véspera
mistakes,erros
houses,casas
chattering,conversando
brains,cérebros
japan,Japão
creature,criatura
fourth,quarto
separate,separado
cleaning,limpeza
california,Califórnia
lf,lf
ll,ll
shift,mudança
elizabeth,Elizabeth
chicago,Chicago
exact,exato
karen,Karen
goal,meta
expert,especialista
served,servido
direct,direto
score,pontuação
row,linha
marks,Marcas
twenty,vinte
receive,receber
series,Series
section,seção
pilot,piloto
jackson,Jackson
darkness,escuridão
thy,teus
sale,oferta
destiny,destino
cure,cura
spoken,falada
armed,armado
rare,cru
helen,Helen
grade,nota
juice,suco
wide,largo
tower,torre
solution,solução
schedule,agendar
explosion,explosão
wheel,roda
cigarette,cigarro
julie,Julie
fruit,fruta
blew,estraguei
victor,vencedor
talks,conversas
sacrifice,sacrifício
range,faixa
button,botão
reports,relatórios
prisoner,prisioneiro
pie,aproximar
effort,esforço
youth,juventude
pot,Panela
eaten,comido
taylor,Taylor
knees,joelhos
garage,garagem
parking,estacionamento
ambulance,ambulância
staring,olhando fixamente
chances,chances
circumstances,circunstâncias
sin,pecado
gordon,Gordon
progress,progresso
unusual,incomum
county,condado
stairs,escadaria
campaign,campanha
mon,Meu
vision,visão
reporter,repórter
equipment,equipamento
moments,momentos
joey,Joey
mass,massa
alien,estrangeiro
trapped,encurralado
helps,ajuda
route,rota
defend,defender
trace,vestígio
nasty,nojento
tests,testes
magazine,revista
rocks,pedras
dump,jogar fora
rude,rude
searching,procurando
clue,dica
connected,conectado
amen,Amém
pushed,empurrado
merry,alegre
zone,zona
senior,Senior
closing,fechamento
freeze,congelar
emperor,imperador
incident,incidente
snake,cobra
mexico,México
lily,lírio
actor,ator
newspaper,jornal
sentence,frase
greg,Greg
leading,principal
friendly,amigável
jones,Jones
chosen,escolhido
engaged,noivo
julia,Julia
charming,encantador
mustn,mustn
anger,raiva
spending,gastar
learning,aprendizado
spy,espião
sharp,afiado
shadow,sombra
warrant,mandado
elevator,elevador
kingdom,reino
ricky,Ricky
jamie,Jamie
squad,esquadrão
shoulder,ombro
wave,aceno
amanda,Amanda
highness,alteza
kinds,tipos
fishing,pescaria
sometime,às vezes
attitude,atitude
sucks,é uma merda
negative,negativo
screen,tela
workers,trabalhadores
bored,entediado
cameras,câmeras
similar,semelhante
understanding,entendimento
beeps,bipes
chain,corrente
bull,touro
gasping,ofegando
fully,completamente
robin,Robin
collect,coletar
gorgeous,maravilhoso
morgan,Morgan
passion,paixão
writer,escritor
empire,Império
international,internacional
curse,xingamento
hire,contratar
bastards,bastardos
puts,coloca
leads,pistas
id,eu ia
blows,golpes
sons,filhos
estate,Estado
customers,clientes
maggie,Maggie
gunshot,tiro
i-,eu-
device,dispositivo
troops,tropas
hug,abraço
design,projeto
movement,movimento
thunder,trovão
object,objeto
loser,perdedor
pen,caneta
sobbing,soluçando
politics,política
despite,apesar de
alcohol,álcool
climb,escalar
clients,clientes
conference,conferência
provide,fornecer
marty,Marty
seek,procurar
witnesses,testemunhas
earn,ganhar
trash,lixo
valley,vale
fashion,moda
howard,Howard
episode,episódio
prize,prêmio
previously,anteriormente
sports,Esportes
wanting,querendo
debt,dívida
wishes,desejos
hitler,Hitler
wire,arame
thee,te
circle,círculo
approach,abordagem
stock,estoque
facts,fatos
remembered,lembrei
percent,por cento
normally,normalmente
tail,cauda
joined,ingressou
education,Educação
bravo,bravo
library,biblioteca
rape,estupro
wings,asas
growling,rosnando
thrown,jogado
tank,tanque
exhales,exala
authority,autoridade
current,atual
failure,falha
nightmare,pesadelo
hitting,batendo
glory,glória
knocked,bateu
studying,estudo
barry,Barry
agency,agência
apple,maçã
border,fronteira
rope,corda
duck,pato
reputation,reputação
confidence,confiança
yard,quintal
beloved,amado
lack,falta
actual,real
skills,habilidades
films,filmes
mental,mental
salt,sal
flesh,carne
anne,Anne
secure,seguro
highly,altamente
federal,Federal
sand,areia
emotional,emocional
setting,contexto
nothin,nada
senator,senador
services,Serviços
robbery,roubo
hates,odeia
fed,alimentado
reward,recompensa
theater,teatro
johnson,Johnson
commit,comprometer-se
patrick,Patrick
entirely,inteiramente
extraordinary,extraordinário
ships,navios
opposite,oposto
parties,festas
stands,Stands
terry,Terry
chat,bater papo
events,eventos
mummy,mamãe
bay,baía
slip,escorregar
disappointed,desapontado
settled,assentou
begins,começa
andrew,Andrew
alert,alerta
detail,detalhe
pink,rosa
fellas,Caras
accepted,aceitaram
background,fundo
garbage,lixo
panic,pânico
minds,mentes
belt,cinto
blowing,sopro
hollywood,Hollywood
agreement,acordo
jackie,Jackie
pushing,empurrando
ability,habilidade
tiger,tigre
whispering,sussurrando
culture,cultura
saint,santo
jesse,Jesse
task,tarefa
solid,sólido
doll,boneca
intend,pretende
district,distrito
pa,poz
gee,dar
custody,custódia
ignore,ignorar
naturally,naturalmente
useful,útil
attempt,tentar
abandoned,abandonado
cutting,corte
kissed,beijado
guarantee,garantia
barking,Latidos
gather,juntar
policy,política
u.s.,nós.
violent,violento
maid,empregada doméstica
embarrassing,embaraçoso
childhood,infância
wasting,desperdiçar
bow,arco
chick,Chick
sara,Sara
disaster,desastre
revolution,revolução
online,on-line
f,f
demon,demônio
heavily,pesadamente
coincidence,coincidência
perform,executar
thin,afinar
terrific,maravilhoso
mac,Mac
crown,coroa
identity,identidade
virgin,virgem
impressive,impressionante
windows,janelas
no-one,ninguém
potential,potencial
guitar,guitarra
committee,Comitê
dozen,dúzia
delivery,entrega
advance,avançar
quietly,silenciosamente
stan,Stan
teaching,ensino
hunter,caçador
latest,mais recente
hurting,machucando
swing,balanço
capital,capital
counting,contando
drew,atraiu
dirt,sujeira
whistle,assobiar
marie,Marie
hits,exitos
doug,Doug
deny,negar
urgent,urgente
threatened,ameaçado
behavior,comportamento
molly,molly
mixed,misturado
stays,fica
assure,assegurar
subtitles,Legendas
explanation,explicação
wins,vence
unique,exclusivo
chasing,perseguindo
billion,bilhão
duke,duque
production,Produção
slave,escravo
agents,agentes
carol,Carol
lets,Lets
cruel,cruel
mask,mascarar
sally,Sally
behave,comportar-se
bury,enterrar
massive,enorme
pathetic,patético
species,espécies
approaching,Aproximando
jo,porque
loan,empréstimo
struggle,luta
dish,prato
trusted,confiável
jumped,saltou
firing,disparo
channel,canal
abby,Abby
stopping,parando
asks,pergunta
jean,Jean
swimming,natação
daily,diário
basement,porão
linda,Linda
quarter,trimestre
erm,erm
bound,vinculado
navy,marinha
article,artigo
guide,guia
accused,acusado
transfer,transferir
guts,estômago
quality,qualidade
fella,cara
roman,romano
greater,maior
damned,condenado
couch,sofá
cheer,alegrar
vegas,Vegas
shoe,sapato
title,título
shy,tímido
punishment,punição
los,o
clicks,cliques
you,você
closet,armário
bye-bye,Bye Bye
fever,febre
coward,covarde
flash,clarão
impressed,impressionado
bruce,Bruce
siren,sirene
prisoners,prisioneiros
sides,lados
bowl,tigela
katie,Katie
supply,fornecer
sensitive,confidencial
hopefully,esperançosamente
rolling,rolando
roy,Roy
dollar,dólar
tone,tom
voices,vozes
g,g
i,eu
cheating,trapaceando
confess,confessar
demand,demanda
museum,museu
unknown,desconhecido
drama,drama
suspicious,suspeito
adult,adulto
todd,Todd
frightened,com medo
warned,avisou
steady,estável
kills,mata
crossed,cruzado
lou,Lou
particularly,particularmente
sandwich,sanduíche
laws,leis
joint,articulação
bullets,balas
package,pacote
trained,treinado
thursday,quinta-feira
boots,botas
possibility,possibilidade
albert,Albert
civil,Civil
june,junho
germans,alemães
baseball,beisebol
express,expressar
miserable,miserável
tuesday,terça-feira
parker,Parker
lion,leão
joseph,Joseph
refused,recusou
shine,brilhar
assault,assalto
hong,Hong
jokes,piadas
breaks,rompe
argue,discutir
you-,você-
trail,trilha
option,opção
recall,lembrar
mighty,poderoso
collection,coleção
oliver,Oliver
wilson,Wilson
accent,sotaque
believes,acredita
decisions,decisões
embarrassed,envergonhado
mobile,móvel
customer,cliente
terribly,terrivelmente
sec,Sec
charity,caridade
considering,considerando
pussy,bichano
donna,Donna
protecting,protegendo
flag,bandeira
kidnapped,seqüestrado
italy,Itália
balance,equilíbrio
creatures,criaturas
nuclear,nuclear
wallet,carteira
shout,gritar
vincent,Vincent
entered,entrou
impression,impressão
angela,Angela
jay,Jay
degrees,graus
favour,Favor
reaction,reação
network,rede
jessica,Jessica
version,versão
concert,show
gear,engrenagem
singer,cantor
diamond,diamante
defeat,derrota
steven,Steven
lane,faixa
blast,explosão
wounded,ferido
anytime,a qualquer momento
partners,Parceiros
ages,idades
charlotte,Charlotte
ceremony,cerimônia
league,liga
bars,barras
orange,laranja
specific,específico
conditions,condições
plastic,plástico
crisis,crise
fifth,quinto
term,prazo
self,auto
offering,oferta
bud,Bud
suffered,sofreu
reported,relatado
commissioner,comissário
rip,rasgar
mysterious,misterioso
entrance,Entrada
messed,bagunçado
tunnel,túnel
designed,projetado
neighbor,vizinho
aboard,a bordo
sweat,suor
justin,Justin
ghosts,fantasmas
crimes,crimes
costs,custos
deserves,merece
dreaming,sonhando
bust,busto
el,ele
teddy,Urso de pelúcia
kong,Kong
messages,mensagens
enjoying,desfrutando
afterwards,após
comfort,conforto
mason,pedreiro
surrender,render
gym,academia
kitty,gatinha
crush,crush
yup,sim
arranged,arranjado
suits,se adequa
pee,urina
stress,estresse
cave,caverna
wing,asa
jordan,Jordânia
arrange,arranjo
comrade,camarada
noble,nobre
tricks,truques
betty,Betty
launch,lançar
legend,lenda
mix,misturar
golf,golfe
imagination,imaginação
fox,raposa
kissing,se beijando
butter,manteiga
tax,imposto
gross,bruto
edward,Edward
texas,Texas
insist,insistir
marcus,Marcus
classic,clássico
selfish,egoísta
skull,crânio
frankie,Frankie
shown,mostrando
bat,um
survived,sobreviveu
print,imprimir
champion,campeão
bills,contas
therapy,terapia
lifetime,vida
throughout,por todo
a.m.,sou.
nathan,Nathan
toward,na direção
sauce,molho
experiment,experimentar
margaret,Margaret
describe,descrever
ross,Ross
grass,grama
cheat,trair
attend,participar
homework,trabalho de casa
lewis,Lewis
betrayed,traído
servant,servo
cap,boné
tyler,Tyler
bible,Bíblia
practically,praticamente
catherine,Catherine
steel,aço
wipe,limpar
burns,queimaduras
j,j
generation,geração
cabin,cabine
financial,financeiro
industry,indústria
bond,ligação
sheep,ovelha
scientists,cientistas
beaten,espancado
heck,diabos
deck,área coberta
fans,fãs
script,roteiro
brand,marca
degree,grau
painful,doloroso
coughing,tosse
religion,religião
cats,gatos
stephen,Stephen
influence,influência
fuel,combustível
drawing,desenho
uh-oh,uh-oh
rabbit,coelho
exercise,exercício
attractive,atraente
touching,tocando
virus,vírus
realise,entender
torture,tortura
blessed,abençoado
plain,simples
rebecca,Rebecca
recent,recente
barbara,Barbara
footsteps,passos
sacred,sagrado
removed,removido
pretending,fingindo
wasted,desperdiçado
jewish,judaico
goodnight,boa noite
robot,robô
crystal,cristal
confirm,confirme
lad,rapaz
mile,milha
division,divisão
scratch,arranhar
reminds,lembra
walks,anda em
ending,final
russia,Rússia
contest,concurso
valuable,de valor
distant,distante
dumped,jogado fora
motion,movimento
electricity,eletricidade
centre,Centro
murders,assassinatos
tina,de
jeremy,Jeremy
seal,selo
standard,padrão
ellen,Ellen
wore,vestiu
surrounded,cercado
struck,chocado
inform,informar
gentle,gentil
status,status
purse,bolsa
prints,impressões
players,jogadoras
charged,carregada
begging,implorando
delivered,entregue
kenny,Kenny
buck,bode
nina,Nina
construction,construção
confirmed,confirmado
confession,confissão
trigger,acionar
cells,células
frankly,francamente
ali,ou
exit,saída
response,resposta
cancel,cancelar
argument,argumento
principal,diretor
turkey,peru
lucas,Lucas
clinic,clínica
greetings,saudações
neighbors,vizinhos
vice,vício
toy,brinquedo
hannah,Hannah
everyday,diariamente
generous,generoso
gain,ganho
idiots,idiotas
holly,azevinho
enjoyed,curtiu
jungle,selva
link,link
underground,subterrâneo
smiling,sorridente
mistress,amante
teams,equipes
product,produtos
beef,carne bovina
whispers,sussurros
religious,religioso
presents,presentes
identify,identificar
chip,lasca
chffffff,chffffff
surveillance,vigilância
carlos,Carlos
vampire,vampiro
routine,rotina
uses,usos
michelle,Michelle
underneath,debaixo de
systems,sistemas
temperature,temperatura
waves,ondas
tribe,tribo
brad,Brad
deputy,deputado
sophie,Sophie
headquarters,quartel general
equal,igual
phones,telefones
ken,Ken
reckon,considerar
related,relacionado
incredibly,incrivelmente
chill,frio
spit,saliva
tracks,faixas
oscar,Oscar
makeup,inventar
bug,erro
sounded,soou
spirits,espíritos
nerve,nervo
divorced,divorciado
stake,estaca
port,porta
doorbell,campainha
worries,preocupações
nephew,sobrinho
miller,moleiro
units,unidades
just-,apenas-
proceed,Continuar
landing,pousar
traitor,traidor
outfit,roupa
chloe,chloe
bail,fiança
fields,Campos
patience,paciência
recording,gravação
foolish,tolice
loaded,carregado
tokyo,Tóquio
davis,Davis
costume,fantasia
wayne,Wayne
injured,ferido
somethin,algo
ian,Ian
pet,bicho de estimação
cage,jaula
digging,escavação
spain,Espanha
seats,assentos
awkward,estranho
cleaned,limpo
pattern,padrão
filthy,imundo
visiting,visitando
jews,judeus
answering,respondendo
concentrate,concentrado
someplace,algum lugar
citizens,cidadãos
aim,mirar
nancy,Nancy
affairs,romances
thick,espesso
sport,esporte
basic,básico
electric,elétrico
pleasant,prazeroso
cliff,penhasco
nail,unha
russell,Russell
environment,ambiente
western,ocidental
average,média
ease,facilidade
raped,estuprado
interrupt,interromper
judy,Judy
satisfied,satisfeito
beep,bip
starving,morrendo de fome
documents,documentos
anniversary,aniversário
beth,Beth
election,eleição
warrior,guerreiro
r,r
forth,adiante
fetch,buscar
banks,bancos
placed,colocada
timing,tempo
stones,pedras
complex,complexo
frozen,congeladas
replace,substituir
prayer,oração
skip,pular
angeles,Angeles
guilt,culpa
tune,afinação
woo,Woo
actions,ações
conscience,consciência
officially,oficialmente
martha,Martha
machines,máquinas
smaller,menor
determined,determinado
blown,soprado
hail,saudação
unhappy,infeliz
booth,cabine
pour,Para
berlin,Berlim
cleared,limpo
packed,embalado
wrap,enrolar
randy,Randy
behalf,em nome de
reasonable,razoável
trunk,porta-malas
homes,casas
festival,festival
tradition,tradição
cigarettes,cigarros
le,o
beside,ao lado
harvey,Harvey
motive,motivo
beings,seres
bishop,bispo
dealer,distribuidor
defendant,réu
backup,cópia de segurança
wounds,ferimentos
ouch,ai
ann,Ann
nearby,próximo
drank,bebido
effects,efeitos
jonathan,Jonathan
dennis,Dennis
benefit,beneficiar
adventure,aventura
p,p
territory,território
ve,ve
apology,desculpa
dylan,Dylan
unlike,diferente
owns,possui
boxes,caixas
thus,por isso
clay,argila
developed,desenvolvido
busted,pego
pipe,cano
gray,cinza
no.,não.
goods,bens
favourite,favorito
salad,salada
loyal,leal
atmosphere,atmosfera
eva,Eva
freaking,enlouquecendo
dropping,cair
strangers,estranhos
mouse,rato
downtown,centro da cidade
francisco,Francisco
heroes,Heróis
pit,poço
rotten,podre
paradise,paraíso
meantime,Enquanto isso
jess,Jess
organization,organização
hills,colinas
exam,exame
cock,galo
fairy,fada
earl,conde
comment,Comente
activity,atividade
frame,quadro
knight,cavaleiro
testing,teste
habit,hábito
shelter,abrigo
flow,fluxo
jennifer,Jennifer
holes,buracos
prevent,evitar
anthony,Anthony
lend,emprestar
cooper,tanoeiro
figures,Figuras
boston,boston
sample,amostra
strip,faixa
landed,pousado
buzzing,zumbindo
monk,monge
slightly,um pouco
produce,produzir
annoying,chato
judgment,julgamento
laundry,lavanderia
ron,Ron
lousy,nojento
souls,almas
existence,existência
belly,barriga
tries,tentativas
foster,fomentar
returning,retornando
answered,respondidas
ward,ala
plants,plantas
actress,atriz
chairman,presidente
individual,Individual
hopes,esperanças
tattoo,tatuagem
fence,cerca
sink,afundar
punk,punk
confident,confiante
yay,yay
mistaken,equivocado
limit,limite
bothering,incomodando
st,st
uncomfortable,desconfortável
wednesday,quarta-feira
gifts,presentes
policeman,policial
na,n / D
precisely,precisamente
lawyers,advogados
greek,grego
merely,apenas
criminals,criminosos
underwear,roupa de baixo
hoped,esperava
earned,merecido
reveal,revelar
appeared,apareceu
derek,Derek
heavens,céus
personality,personalidade
batman,homem Morcego
virginia,Virgínia
wives,esposas
colour,cor
worker,trabalhador
pope,papa
instructions,instruções
intelligent,inteligente
worrying,preocupante
vince,Vince
comin,vindo
cried,gritou
traveling,viajando
bells,sinos
x,x
impact,impacto
robbed,roubado
relief,alívio
host,hospedar
footage,imagens de vídeo
odds,chances
patrol,patrulha
circus,circo
mud,lama
captured,capturado
lessons,lições
occasion,ocasião
sets,conjuntos
pulse,pulso
ad,de Anúncios
invented,inventado
diamonds,diamantes
matthew,Mateus
auntie,tia
cloud,nuvem
francis,Francis
angels,Anjos
hers,dela
classes,Aulas
mm-hm,mm-hm
signature,assinatura
complain,reclamar
blah,blá
monitor,monitor
options,opções
claims,reivindicações
flies,moscas
pat,Pat
britain,Grã -Bretanha
hid,escondido
wailing,lamentando
listened,Ouvido
countries,países
vic,Vic
yell,gritar
rats,ratos
wondered,me perguntou
smooth,suave
resist,resistir
companies,empresas
fantasy,fantasia
passport,Passaporte
pitch,tom
hammer,martelo
homicide,homicídio
casey,Casey
holds,segura
flew,voou
jacob,Jacob
noon,meio-dia
helicopter,helicóptero
dishes,pratos
spin,rodar
charm,charme
slap,tapa
apply,aplicar
fools,tolos
screeching,gritando
discover,descobrir
previous,anterior
kit,kit
authorities,autoridades
moaning,gemido
photograph,fotografia
sales,vendas
fifty,cinquenta
mickey,Mickey
beneath,abaixo
farewell,até a próxima
clouds,nuvens
slipped,escorregou
represent,representar
deaf,surdo
facing,voltado para
offense,ofensa
citizen,cidadão
clown,palhaço
snap,foto
messing,bagunçando
hood,capuz
twelve,doze
interests,interesses
cheated,enganado
liz,Liz
informed,informado
humanity,humanidade
producer,produtor
technically,tecnicamente
accounts,Contas
extreme,extremo
gettin,Gettin
cia,CIA
ii,ii
pays,paga
profile,perfil
oxygen,oxigênio
jeez,Caramba
gene,gene
shed,cabana
minor,menor
ex,ex
theatre,teatro
scientific,científico
lovers,amantes
chaos,caos
l.a.,o.
rocket,foguete
math,matemática
stubborn,teimoso
august,agosto
oi,oi
chips,salgadinhos
intense,intenso
grey,cinza
talkin,conversando
terrorist,terrorista
angle,ângulo
invitation,convite
gus,gus
gambling,jogatina
respond,responder
thirty,trinta
procedure,procedimento
absolute,absoluto
investigate,investigar
tragedy,tragédia
stable,estábulo
session,sessão
capture,capturar
marrying,casar
ripped,rasgado
attacks,ataques
stretch,esticar
bush,arbusto
dates,datas
unable,impossível
gates,Portões
mars,Marte
artists,artistas
increase,aumentar
tastes,Gostos
cared,cuidei
bottles,garrafas
highest,Altíssima
whirring,zumbindo
meanwhile,enquanto isso
nate,Nate
grabbed,agarrado
pigs,porcos
chop,cortar
olivia,Olivia
wheels,rodas
shocked,chocado
reverend,reverendo
commercial,comercial
escort,escolta
engagement,noivado
corpse,cadáver
louise,Louise
worthy,valioso
scale,escala
beats,batidas
williams,Williams
threatening,ameaçador
exists,existe
academy,Academia
acts,atos
hop,saltar
judges,juízes
furniture,mobília
shared,compartilhado
ralph,Ralph
consequences,consequências
engineer,engenheiro
schools,escolas
softly,suavemente
bombs,bombas
caroline,Caroline
shark,Tubarão
transport,transporte
population,população
succeed,ter sucesso
creepy,repugnante
sneak,esgueirar-se
studies,estudos
destruction,destruição
keith,Keith
protected,protegido
monsters,monstros
joining,juntando -se
punished,punido
lightning,raio
malcolm,Malcolm
shell,concha
fascinating,fascinante
chamber,câmara
ethan,Ethan
romance,romance
instance,instância
jumping,pulando
groups,grupos
exhausted,Exausta
testify,testemunhe
studied,estudado
walker,andador
pin,alfinete
imagined,imaginado
drill,furar
investigating,investigando
ye,vós
experienced,com experiência
elena,Elena
necklace,colar
loyalty,lealdade
junk,porcaria
cole,Cole
cries,chora
stanley,Stanley
rita,Rita
southern,sulista
blocks,blocos
emotions,emoções
begun,iniciado
maya,Maya
liver,fígado
serving,servir
matches,partidas
surgeon,cirurgião
granted,garantido
jazz,jazz
july,julho
supplies,suprimentos
deeper,Deeper
typical,típica
kicking,chutando
obey,obedecer
dancer,dançarino
remote,controlo remoto
daughters,filhas
moron,idiota
latin,latim
teachers,professores
toby,Toby
sandy,Sandy
dragged,arrastada
strategy,estratégia
parent,pai
jin,sentir
album,álbum
compared,comparado
rubbish,bobagem
helpful,útil
powder,pó
sync,sincronizar
bum,vagabundo
passes,passes
joan,Joan
fort,forte
choices,escolhas
alley,beco
supper,jantar
penis,pênis
alibi,álibi
sammy,Sammy
pole,não
coke,Coca
scientist,cientista
fighter,lutador
highway,autoestrada
blade,lâmina
alpha,alfa
diet,dieta
liquor,licor
jet,jato
widow,viúva
liberty,liberdade
philip,Philip
moral,moral
carrie,Carrie
award,prêmio
grief,pesar
thirsty,sedento
ashley,Ashley
random,aleatório
suspects,suspeitos
intention,intenção
julian,Julian
active,ativo
tools,ferramentas
driven,dirigido
trauma,trauma
headache,dor de cabeça
safely,com segurança
alexander,Alexander
knee,joelho
lads,rapazes
novel,romance
conversations,conversas
waters,águas
lookin,olhar dentro
invisible,invisível
internal,interno
peaceful,pacífico
humming,zumbindo
washed,lavado
drives,unidades
talented,talentoso
li,que
aid,ajuda
elephant,elefante
troubles,problemas
core,essencial
serial,serial
s-,s-
painted,pintado
the,o
divine,divino
jam,geléia
goat,cabra
opera,ópera
thieves,ladrões
guessing,adivinhação
objection,objeção
whiskey,uísque
florida,Flórida
resistance,resistência
dressing,vestir
attached,apegado
aaron,Aaron
brief,apresentação
punish,punir
eternal,eterno
lois,lois
and,e
required,obrigatório
victoria,Victoria
fabulous,fabuloso
twins,gêmeos
characters,personagens
cooked,cozinhou
ln,ln
ruth,Ruth
dreamed,sonhou
arts,artes
naughty,danadinho
stabbed,esfaqueado
tend,tratar
diane,Diane
tap,tocar
soap,sabão
locker,armário
development,desenvolvimento
images,imagens
prick,picada
global,global
string,corda
bitter,amargo
sharing,compartilhamento
corn,milho
craig,Craig
fits,encaixa
tent,barraca
forms,formulários
votes,votos
harold,Harold
propose,propor
monica,Monica
constantly,constantemente
granny,avó
nicely,agradável
nerves,nervos
arguing,discutindo
abuse,Abuso
relatives,parentes
survival,sobrevivência
gloves,luvas
tracking,monitorando
zoe,Zoe
u,em
bend,dobrar
review,análise
connect,conectar
separated,separado
elder,mais velho
beard,barba
admiral,almirante
diana,Diana
salary,salário
areas,áreas
disturb,perturbar
pro,pró
maintain,manter
solved,resolvido
wealth,fortuna
bitches,vadias
possession,posse
sang,cantou
gimme,Gimme
